Name,Team,year,Week,Opponent,def_rk,h/a_1,surface_0
Travis Kelce,KC,2018,9,CLE,12,0.0,1.0
Jordan Reed,WAS,2018,9,ATL,23,1.0,1.0
Greg Olsen,CAR,2018,9,TB,15,1.0,1.0
David Njoku,CLE,2018,9,KC,10,1.0,1.0
Trey Burton,CHI,2018,9,BUF,9,0.0,0.0
O.J. Howard,TB,2018,9,CAR,13,0.0,1.0
Austin Hooper,ATL,2018,9,WAS,11,0.0,1.0
Vance McDonald,PIT,2018,9,BAL,25,0.0,1.0
Kyle Rudolph,MIN,2018,9,DET,20,1.0,0.0
Ed Dickson,SEA,2018,9,LAC,10,1.0,0.0
Benjamin Watson,NO,2018,9,LAR,8,1.0,0.0
Chris Herndon,NYJ,2018,9,MIA,27,0.0,1.0
Jordan Thomas,HOU,2018,9,DEN,26,0.0,1.0
Vernon Davis,WAS,2018,9,ATL,23,1.0,1.0
Charles Clay,BUF,2018,9,CHI,4,1.0,0.0
Jesse James,PIT,2018,9,BAL,25,0.0,1.0
Antonio Gates,LAC,2018,9,SEA,18,0.0,0.0
Nick Vannett,SEA,2018,9,LAC,10,1.0,0.0
Cameron Brate,TB,2018,9,CAR,13,0.0,1.0
Seth DeValve,CLE,2018,9,KC,10,1.0,1.0
Nick O'Leary,MIA,2018,9,NYJ,17,1.0,1.0
Mike Gesicki,MIA,2018,9,NYJ,17,1.0,1.0
Mark Andrews,BAL,2018,9,PIT,7,1.0,1.0
Hayden Hurst,BAL,2018,9,PIT,7,1.0,1.0
Jeff Heuerman,DEN,2018,9,HOU,1,1.0,1.0
Tyler Higbee,LAR,2018,9,NO,21,0.0,0.0
Gerald Everett,LAR,2018,9,NO,21,0.0,0.0
Josh Hill,NO,2018,9,LAR,8,1.0,0.0
Logan Thomas,BUF,2018,9,CHI,4,1.0,0.0
Jason Croom,BUF,2018,9,CHI,4,1.0,0.0
Dion Sims,CHI,2018,9,BUF,9,0.0,0.0
Ben Braunecker,CHI,2018,9,BUF,9,0.0,0.0
Adam Shaheen,CHI,2018,9,BUF,9,0.0,0.0
Daniel Brown,CHI,2018,9,BUF,9,0.0,0.0
Patrick Scales,CHI,2018,9,BUF,9,0.0,0.0
Alan Cross,TB,2018,9,CAR,13,0.0,1.0
Antony Auclair,TB,2018,9,CAR,13,0.0,1.0
Ian Thomas,CAR,2018,9,TB,15,1.0,1.0
Chris Manhertz,CAR,2018,9,TB,15,1.0,1.0
Darren Fells,CLE,2018,9,KC,10,1.0,1.0
Orson Charles,CLE,2018,9,KC,10,1.0,1.0
Pharaoh Brown,CLE,2018,9,KC,10,1.0,1.0
Demetrius Harris,KC,2018,9,CLE,12,0.0,1.0
James Winchester,KC,2018,9,CLE,12,0.0,1.0
Deon Yelder,KC,2018,9,CLE,12,0.0,1.0
A.J. Derby,MIA,2018,9,NYJ,17,1.0,1.0
Durham Smythe,MIA,2018,9,NYJ,17,1.0,1.0
Jordan Leggett,NYJ,2018,9,MIA,27,0.0,1.0
Neal Sterling,NYJ,2018,9,MIA,27,0.0,1.0
Eric Tomlinson,NYJ,2018,9,MIA,27,0.0,1.0
Xavier Grimble,PIT,2018,9,BAL,25,0.0,1.0
Nick Boyle,BAL,2018,9,PIT,7,1.0,1.0
Maxx Williams,BAL,2018,9,PIT,7,1.0,1.0
Darren Waller,BAL,2018,9,PIT,7,1.0,1.0
Michael Roberts,DET,2018,9,MIN,3,0.0,0.0
Luke Willson,DET,2018,9,MIN,3,0.0,0.0
Levine Toilolo,DET,2018,9,MIN,3,0.0,0.0
Tyler Conklin,MIN,2018,9,DET,20,1.0,0.0
Josiah Price,MIN,2018,9,DET,20,1.0,0.0
David Morgan,MIN,2018,9,DET,20,1.0,0.0
Kevin McDermott,MIN,2018,9,DET,20,1.0,0.0
Logan Paulsen,ATL,2018,9,WAS,11,0.0,1.0
Eric Saubert,ATL,2018,9,WAS,11,0.0,1.0
Jeremy Sprinkle,WAS,2018,9,ATL,23,1.0,1.0
Ryan Griffin,HOU,2018,9,DEN,26,0.0,1.0
Jordan Akins,HOU,2018,9,DEN,26,0.0,1.0
Matt LaCosse,DEN,2018,9,HOU,1,1.0,1.0
Brian Parker,DEN,2018,9,HOU,1,1.0,1.0
Virgil Green,LAC,2018,9,SEA,18,0.0,0.0
Hunter Henry,LAC,2018,9,SEA,18,0.0,0.0
Sean Culkin,LAC,2018,9,SEA,18,0.0,0.0
Darrell Daniels,SEA,2018,9,LAC,10,1.0,0.0
Will Dissly,SEA,2018,9,LAC,10,1.0,0.0
Tyler Ott,SEA,2018,9,LAC,10,1.0,0.0
Johnny Mundt,LAR,2018,9,NO,21,0.0,0.0
Dan Arnold,NO,2018,9,LAR,8,1.0,0.0
